subject,run,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_p,trans_y_p,trans_z_p,rot_x_p,rot_y_p,rot_z_p
AmK,2,-0.13685161127558212,-0.18615709423654042,-0.0852348978335499,0.3589366584350743,0.006634454718020089,0.24994853572467143,0.003629545690787401,7.103731456385832e-05,0.07086139542449253,3.955285988568574e-15,0.8883849283851041,7.7446554852627e-08
IdS,1,-0.175873687460266,0.10240869258133743,-0.07423835774958532,0.14164383541257736,0.20675018316942664,-0.24553908501466246,0.0001770213061882547,0.02984904424047488,0.11580591697057548,0.002599092397550339,9.801942013431512e-06,1.3264560206415078e-07
IdS,2,0.09451625700434949,-0.033911478948574464,0.04847441617133447,0.3611688773126918,-0.002905006198581237,0.11064755874341536,0.045080348895688495,0.47301832940972593,0.30487231672533305,2.5995934390114944e-15,0.950998269949566,0.018880896384651687
DoP,1,0.11462852252253297,-0.1464745717580183,-0.12252729025033068,-0.10616653046012081,0.02462139688304735,-0.10735594917206892,0.01497847027001743,0.0018371333062468585,0.009274210612836767,0.02430730675632323,0.6024190262494181,0.022749499086058198
AlS,1,-0.13311207621816712,0.34115876784949994,-0.02397529267429973,-0.2527543635363343,-0.25456380889446584,-0.42460190037112283,0.004677008490416457,9.965884730128812e-14,0.6119786351261007,5.4699040445741955e-08,4.3613917392317225e-08,4.018546824601712e-21
AlS,2,-0.07014336770298452,0.2965162100164833,0.24266819784123167,0.033011003380106,0.261793294876717,-0.6203522153824486,0.1373697744851244,1.3857817952713645e-10,1.8726734106949902e-07,0.48485715615257247,1.7341109199685107e-08,3.278820335978432e-49
AnF,1,-0.13111322873831593,-0.25515554870163604,0.01159565012867261,0.11769342367762471,-0.32807710116453975,-0.021218974572233935,0.005342376026810942,4.04851890628271e-08,0.8062202979471489,0.012475564013875657,9.41868682114961e-13,0.6534886248500706
AnF,2,-0.026203640823452418,0.225404604103947,-0.0704372651080207,0.050218072542544956,-0.08946342844125314,-0.0014534277797836558,0.5792966912768812,1.3615104638227686e-06,0.13572597329221356,0.28778464121763625,0.057916223958960095,0.9754720087566249
ErG,1,-0.06483353406862442,0.2769443582401434,-0.05413481145017479,0.33638236295273566,0.13640917706190014,-0.46626940736752365,0.16976897914484804,2.2894054221661976e-09,0.2517871836283436,2.2911994576533393e-13,0.0037412757538327654,1.1377561402158412e-25
AzN,1,-0.10187660716014076,0.34376040335075664,0.03972143456871326,-0.2580886357097155,-0.2289039040688686,0.02121995100665848,0.03071519849671653,6.294382344046582e-14,0.400568103985601,2.791595005889964e-08,9.220311022137087e-07,0.6534737187921453
AzN,2,-0.03744539116960248,-0.1154065333114117,-0.023567567623475977,-0.006395885224032425,0.3835925587367086,-0.03969783119357903,0.4281243792571864,0.014304569506480886,0.618045451793439,0.8923737090198279,3.1842547437593633e-17,0.4008483087830884
