subject,run,motion_param,plv_empirical,plv_null_median,plv_null_mean,plv_null_std,p_value,p_fdr,p_bonferroni,sig_uncorrected,sig_fdr,sig_bonferroni,n_null_samples
AIM,1,rot_y,0.20536020341721067,0.14377797986845137,0.14692465616026415,0.060366579899678634,0.14814814814814814,0.4291187739463601,1.0,False,False,False,27
AIM,1,rot_z,0.20716657549165943,0.16697132546084864,0.1792082055445412,0.09483606995957751,0.2962962962962963,0.5925925925925926,1.0,False,False,False,27
AIM,2,trans_x,0.24920236510873098,0.17892346159714984,0.18965533155595318,0.0993958369541526,0.25925925925925924,0.5730994152046783,1.0,False,False,False,27
AIM,2,trans_y,0.22565520546632364,0.16040830321445826,0.15146193612019962,0.07962540981512829,0.1111111111111111,0.3733333333333333,1.0,False,False,False,27
AIM,2,trans_z,0.05373264678830038,0.17002287533367794,0.1761200670972174,0.08462390192890851,0.8888888888888888,0.9511677282377918,1.0,False,False,False,27
AIM,2,rot_x,0.23293714803143026,0.14991474826704831,0.17259353171537783,0.08044084754346244,0.25925925925925924,0.5730994152046783,1.0,False,False,False,27
AIM,2,rot_y,0.31173506871069306,0.21650546094075818,0.21641884842544193,0.08889301571901162,0.14814814814814814,0.4291187739463601,1.0,False,False,False,27
AIM,2,rot_z,0.31161989318780237,0.14739906511595513,0.1455083244044941,0.06596214707386579,0.037037037037037035,0.17777777777777776,1.0,True,False,False,27
EdZ,1,trans_x,0.16084336703269994,0.09128016717999972,0.13180668378787955,0.08197552327823558,0.25925925925925924,0.5730994152046783,1.0,False,False,False,27
EdZ,1,trans_y,0.20237728516802492,0.12775474030450185,0.16513705956586977,0.11775284892203285,0.2222222222222222,0.5333333333333333,1.0,False,False,False,27
EdZ,1,trans_z,0.1081887873602136,0.1296132349774791,0.1302018756577673,0.07440278326515172,0.6296296296296297,0.8888888888888888,1.0,False,False,False,27
EdZ,1,rot_x,0.10002533572113127,0.12518263403995544,0.15718477458767277,0.1003770316457661,0.6666666666666666,0.8888888888888888,1.0,False,False,False,27
EdZ,1,rot_y,0.12593743289249412,0.12723474695015646,0.133629388652049,0.0683489327867883,0.5185185185185185,0.8065843621399177,1.0,False,False,False,27
EdZ,1,rot_z,0.31657069250668946,0.1595364357120869,0.16653275715599006,0.08955774518244128,0.1111111111111111,0.3733333333333333,1.0,False,False,False,27
HaM,1,trans_x,0.08023896841220263,0.12547878678547209,0.13943324797382217,0.07146948546752428,0.8518518518518519,0.9511677282377918,1.0,False,False,False,27
HaM,1,trans_y,0.23720106485403647,0.15698385883427518,0.15031259885473267,0.08009855225851747,0.07407407407407407,0.2828282828282828,1.0,False,False,False,27
HaM,1,trans_z,0.12964034600824118,0.13982571500034988,0.14177498007860165,0.06940391032597691,0.5185185185185185,0.8065843621399177,1.0,False,False,False,27
HaM,1,rot_x,0.4035250562588765,0.16093206963222825,0.15140835905496747,0.08111801643120205,0.0,0.0,0.0,True,True,True,27
HaM,1,rot_y,0.08129783563920356,0.1757768583311418,0.1739042024347921,0.07836920422858921,0.8888888888888888,0.9511677282377918,1.0,False,False,False,27
HaM,1,rot_z,0.22492334848639628,0.12217426518221111,0.14667291959160345,0.1164883027522839,0.18518518518518517,0.47138047138047134,1.0,False,False,False,27
HaM,2,trans_x,0.17168973309507313,0.15434132061962144,0.15465018171430903,0.08042131343560989,0.4074074074074074,0.7204678362573099,1.0,False,False,False,27
HaM,2,trans_y,0.08362171060899987,0.14767310255623187,0.17435908044789855,0.09985226722636459,0.7777777777777778,0.9468599033816426,1.0,False,False,False,27
