subject,run,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_null_median,trans_y_null_median,trans_z_null_median,rot_x_null_median,rot_y_null_median,rot_z_null_median
HaM,1,0.08023896841220263,0.23720106485403647,0.12964034600824118,0.4035250562588765,0.08129783563920356,0.22492334848639628,0.09487444793133248,0.12217106396883187,0.15822203809098573,0.14004242904780853,0.16589750047893412,0.15124489591614662
HaM,2,0.17168973309507313,0.08362171060899987,0.10827757197762508,0.13886710788875986,0.14025524256813385,0.24437587994192375,0.14141682009147652,0.10922141953515417,0.15355969409059664,0.14946020559507958,0.1665299007524116,0.14872719494961387
ElL,1,0.13710369895176872,0.1372425320885798,0.24852210027758542,0.29992778147556143,0.46225096443499175,0.17386203727021096,0.13642551999136782,0.1298238883364739,0.17261933884127553,0.17680152912532063,0.18864824123005747,0.13818882251884543
ElL,2,0.04244637032071536,0.3476584990089382,0.028573752685091346,0.06372354823827393,0.17427940751518728,0.14957018062094898,0.1632082856244685,0.21675552446743196,0.17383307092472866,0.1326654281569232,0.09979318233885902,0.12483442646084822
DaH,1,0.3335344007555954,0.23424552470379587,0.17619241873735345,0.16510818323543405,0.10880842018107102,0.08995758990125086,0.13172968806934188,0.12854503265504746,0.1241022848428815,0.137349973355599,0.14162058386521284,0.1603345131765662
DaH,2,0.15919991916959172,0.21462795137044713,0.2770270987144915,0.28408397181360806,0.11861731464113054,0.2526067384776015,0.10896452165627389,0.1735099389078853,0.14625701087433873,0.12165987085351543,0.15417038672100414,0.20239139930073705
AmK,1,0.24810348646563501,0.2145523043203787,0.1286195387569461,0.1736309313932768,0.10190288877241885,0.23089679923774942,0.15901114634362307,0.14354301574331718,0.11849238536753443,0.16434125501575114,0.1924369151930875,0.14098519775289553
AmK,2,0.19307436365935227,0.12459138785407288,0.19560366028834492,0.4601888258603871,0.24748505031332116,0.2438164164335194,0.13475216559680958,0.15592774049475203,0.15084288346549557,0.1629497334532786,0.20429020995302197,0.15540958862490287
IdS,1,0.241147849258591,0.03995265905576616,0.22060966621070366,0.121213744659208,0.17118092372733906,0.3600579906507909,0.16679231759036148,0.11654378607446787,0.13545508697048927,0.1413753606662996,0.13216996915816173,0.19971296087592713
IdS,2,0.1346795013042861,0.21029773335519034,0.14044965457451167,0.22931344758836705,0.36574313912493533,0.11115501090404664,0.1434034932903197,0.14599116170118726,0.18423740594275034,0.21157268769128257,0.13849851998215507,0.1268557408936387
DoP,1,0.2560012677802858,0.13965308271196286,0.08975759712847722,0.10420286265088012,0.15338987931751458,0.07216775010675226,0.15845681521263483,0.16269393976978586,0.16231871866130843,0.15420892111028758,0.16199308372673205,0.18184717931911556
AlS,1,0.35775963469675975,0.45879843306412876,0.06508185448016453,0.3412320374129919,0.33006880838367,0.49330803433042486,0.15621548926724202,0.13510995893972677,0.14184158991620743,0.14085909909668662,0.16793115044558315,0.15240788828175106
