motion_param,percent_power_gastric_band,percent_power_low_freq,gastric_peak_freq,total_power,subject,run
trans_y,93.1739158836866,5.313033782719979,0.04833333333333333,0.04443321850869694,SE,1
trans_z,79.59786890755308,18.488305443008663,0.04833333333333333,0.003967182160787932,SE,1
rot_x,91.31295993192819,7.126014122323029,0.04833333333333333,0.03178969523441495,SE,1
rot_y,83.64669843879244,15.788460411722678,0.04833333333333333,0.0050991309119598534,SE,1
rot_z,90.82231111448172,7.283737264610026,0.04833333333333333,0.03024403435607937,SE,1
trans_x,85.2971555262853,13.837364511813396,0.0443,0.016213056022837336,SE,2
trans_y,80.73999111422985,18.923660851024938,0.0443,0.09558767768974867,SE,2
trans_z,77.92592651688895,21.419391328875392,0.0443,0.007747328363896282,SE,2
rot_x,86.20326908326206,13.496967948339249,0.0443,0.08398679161957409,SE,2
rot_y,76.83961870510105,22.524140049355562,0.0443,0.005136414364945223,SE,2
