motion_param,r_zero_order,p_zero_order,r_partial,p_partial,attenuation,percent_attenuation,rho_spearman,p_spearman,subject,run
rot_x,-0.005884297168600994,0.9009362712373057,-0.03915557284540944,0.4073179292302842,-0.033271275676808446,-565.4248030562802,-0.014175740785551205,0.7642598728066323,BS,1
rot_y,-0.3519788141456299,1.4328535398678556e-14,-0.33254789681390273,4.4240291857706425e-13,0.019430917331727193,5.520479230800444,-0.33471368582890126,3.0542652245230987e-13,BS,1
rot_z,0.0062525068638048685,0.8947722471058208,-0.06428574787400791,0.17341190520929384,-0.058033241010203046,-928.159573021049,0.00941891071067018,0.8420640886256104,BS,1
trans_x,-0.22110450205554694,2.1794448422853223e-06,-0.13403403370683717,0.004396100905067321,0.08707046834870977,39.37978084536492,-0.28298417934574166,9.859337288110511e-10,BS,2
trans_y,0.33756708161487986,1.8662398345593852e-13,0.17167229453730634,0.0002534105025345815,0.16589478707757352,49.144243059469254,0.3774450902638203,1.1015797915291823e-16,BS,2
trans_z,-0.424173211477277,4.442936222910223e-21,-0.2790726612371226,1.7053127688167884e-09,0.1451005502401544,34.20785337546651,-0.47510680711180475,1.0194475694574367e-26,BS,2
rot_x,0.07636052578888863,0.10572539718649118,-0.011697935727539945,0.8045453046758839,0.0646625900613487,84.6806506284663,0.037373353284049136,0.4290141296384269,BS,2
rot_y,-0.21537199641465715,4.022116075587136e-06,-0.02882609940180071,0.5419148708512893,0.18654589701285645,86.61566968701835,-0.17400138601507498,0.00020792076234950427,BS,2
rot_z,0.06138519762093014,0.19367606959427747,0.006241955160905259,0.8949488018678956,0.05514324246002488,89.83149781572588,0.10410026716181316,0.027233076838061032,BS,2
trans_x,-0.3140355424049095,2.7323359063900064e-08,-0.3257664738453032,7.593610439094189e-09,-0.011730931440393721,-3.735542591949084,-0.27321859131768134,1.553356553368373e-06,OE,1
trans_y,0.04661769192572962,0.42110319603623275,-0.1764709534990508,0.002155549943754986,-0.12985326157332117,-278.5493150973686,0.20398893321036898,0.0003766825627890532,OE,1
trans_z,-0.11582945366210998,0.045005645151029554,0.1822952243380393,0.001519803835731034,-0.06646577067592932,-57.38244338941533,-0.10283936488183201,0.07531976185584584,OE,1
rot_x,0.05090922470491355,0.3795843386764369,0.20059659661177026,0.0004731279663047001,-0.14968737190685671,-294.02799350116504,0.01826286958743986,0.7527404597490495,OE,1
rot_y,-0.3112991721703319,3.654555316485723e-08,-0.3515118318859888,3.752891706615915e-10,-0.04021265971565691,-12.91768925541953,-0.24451649462771807,1.8467689641496106e-05,OE,1
rot_z,-0.14651859332181388,0.011056464052930063,-0.23989161136590326,2.6788824214843265e-05,-0.09337301804408937,-63.727760366225056,-0.1425953621706908,0.013429971016458481,OE,1
trans_x,0.07496966506511775,0.19534961648056845,0.08635355051374918,0.13563831587077835,-0.011383885448631434,-15.184655605361886,0.16880676451960575,0.0033604203204889785,OE,2
trans_y,-0.29753309929177096,1.5101699343005595e-07,-0.28324268841305067,6.102536649607551e-07,0.014290410878720294,4.802965086148831,-0.28818631318125754,3.7972341184066675e-07,OE,2
trans_z,0.008519111796024714,0.8831777885484958,0.16262346598096467,0.004746047397150779,-0.15410435418493995,-1808.9251306321617,0.0034511494572161913,0.9525329221799335,OE,2
rot_x,0.15581406961054534,0.006850061608781841,0.015839894957765402,0.7846788582601191,0.13997417465277995,89.83410484216417,0.23377548639429324,4.33223886409593e-05,OE,2
rot_y,0.02007345541862693,0.7291429090164412,-0.05696191890205175,0.32546513033957813,-0.036888463483424824,-183.76738191868353,0.07141946021622461,0.2174143298191927,OE,2
rot_z,-0.15125264974767885,0.008691682508072722,-0.061971755771815906,0.2846508293049923,0.08928089397586295,59.027656126885844,-0.12233602595584395,0.0341718413183931,OE,2
trans_x,-0.32772097704161307,6.10189897641772e-09,-0.229829989602755,5.8676595070725496e-05,0.09789098743885807,29.870223237625755,-0.25789753219480216,6.038258108775556e-06,OE,3
trans_y,0.02824424767785474,0.6260743221796217,-0.05674854655454327,0.32728363111796227,-0.028504298876688528,-100.92072269652868,0.08941210457893976,0.12227505028679671,OE,3
trans_z,0.027392693543857947,0.6365247262720659,0.07462262914376011,0.19743152517421322,-0.04722993559990216,-172.41800454666193,0.11571773019700218,0.04521432632793336,OE,3
rot_x,-0.20326396326146698,0.00039561052049721045,-0.0961503635475083,0.09645782367712466,0.10711359971395867,52.69679779694837,-0.18809053433927042,0.0010622875722914617,OE,3
rot_y,-0.36610636974998145,6.01999245138677e-11,-0.21725326624073504,0.00014906333209040057,0.1488531035092464,40.658430393030315,-0.38688207646751627,3.775445592844786e-12,OE,3
rot_z,-0.06364432269891765,0.2718272026175618,-0.11463833015388618,0.04727258575081158,-0.05099400745496853,-80.12341917158268,-0.016445516061289567,0.7766596502539556,OE,3
