motion_param,coherence_gastric_band,coherence_peak,peak_frequency,coherence_broadband,specificity_ratio,subject,run
rot_x,0.06960814688653377,0.1508909570389982,0.0390625,0.10378165794865472,0.6707172365072469,OE,1
rot_y,0.24237856463063295,0.4535916498965798,0.0546875,0.1497869951827993,1.6181549284236583,OE,1
rot_z,0.20623608413884292,0.2662508519732489,0.0546875,0.2438470636853642,0.845759965026166,OE,1
trans_x,0.05098437783990334,0.1059386143765884,0.0390625,0.12073106596160102,0.42229708974730173,OE,2
trans_y,0.24001402384633558,0.37862713589610253,0.0390625,0.39713402556525695,0.6043652981994614,OE,2
trans_z,0.14303632862911786,0.264420929602565,0.0390625,0.18855431426723746,0.7585948330544875,OE,2
rot_x,0.04364669114680894,0.0776235805918963,0.0390625,0.2489745351004607,0.17530584447789815,OE,2
rot_y,0.03434275456442864,0.09543031488539215,0.0390625,0.17120992367057056,0.2005885745878233,OE,2
rot_z,0.24274033099884984,0.33455867972316744,0.0390625,0.38506090357475486,0.6303946432429365,OE,2
trans_x,0.1679901303763138,0.31818686477391434,0.0625,0.3025181809301412,0.5553058986546537,OE,3
trans_y,0.14646389663842538,0.1974014892838335,0.046875,0.14478518971045,1.011594465084261,OE,3
trans_z,0.15408670191484042,0.23563481065485486,0.0390625,0.3290515147124185,0.46827531550091844,OE,3
rot_x,0.14825380692426685,0.3492693342298918,0.046875,0.11971160441187972,1.2384246918146913,OE,3
rot_y,0.20809167174468907,0.30307160579672704,0.0546875,0.19971355570997296,1.0419506622909858,OE,3
rot_z,0.14696686858944974,0.2592644944619076,0.0625,0.2022299688183807,0.7267314007686222,OE,3
trans_x,0.3654180171333332,0.5020248935859387,0.046875,0.2799223426578151,1.3054264033846263,AE,1
trans_y,0.14021651122481926,0.3903447837381552,0.0625,0.1570146450264455,0.8930154961780888,AE,1
trans_z,0.1299341104397579,0.22199489658690663,0.046875,0.05943561020985642,2.1861323499896903,AE,1
rot_x,0.23243660222191206,0.26884893736970017,0.046875,0.19012001447925092,1.2225782894889354,AE,1
rot_y,0.2911707214391336,0.35531207012939947,0.046875,0.153960902280739,1.8911991092328124,AE,1
rot_z,0.04408198608571316,0.08483696021332468,0.0546875,0.2339117197812383,0.1884556537316492,AE,1
trans_x,0.09079549152716174,0.18104394635643445,0.0390625,0.09756095239932233,0.9306540086085405,AE,2
trans_y,0.05021664705392412,0.11754766717055695,0.0625,0.05317254839033081,0.9444092577781144,AE,2
trans_z,0.181941990410348,0.4035693516396411,0.046875,0.24625566461756038,0.7388337263998532,AE,2
rot_x,0.03261890917946215,0.045030738984767414,0.0546875,0.0830202784378104,0.39290291184227155,AE,2
rot_y,0.2024153177081361,0.4147349253898111,0.046875,0.35963668228733414,0.5628327910391847,AE,2
rot_z,0.13015591973128296,0.2698294277128439,0.046875,0.06215436592353675,2.0940752526056694,AE,2
trans_x,0.31513384464941946,0.5245054635734016,0.0546875,0.13245484157863127,2.3791795049214834,AE,3
trans_y,0.13463799211091573,0.24386225810939088,0.0625,0.047369447117837894,2.8422960371852333,AE,3
trans_z,0.08900295391506483,0.2547553628568061,0.0625,0.04129818819367874,2.1551297427903866,AE,3
rot_x,0.1659990413809036,0.2561475383952154,0.0625,0.17645722366210814,0.9407324780576634,AE,3
rot_y,0.20889224042129514,0.3150236380495485,0.0390625,0.07855029147878026,2.65934392123537,AE,3
rot_z,0.11302943154145283,0.18418081272602155,0.0625,0.048692513927340676,2.3212897053946975,AE,3
trans_x,0.11561937008269473,0.20112481251090772,0.0390625,0.17412112347387665,0.6640169079407495,SE,1
trans_y,0.1186624834890295,0.215439333281397,0.0546875,0.14023718978429656,0.8461555995733557,SE,1
trans_z,0.0801752024095615,0.16926313362429327,0.0546875,0.23386240488599996,0.3428306589695814,SE,1
