motion_param,r2_full,r2_adjusted,r2_phase_only,r2_amplitude_only,f_statistic,f_pvalue,correlation_r,correlation_p,beta_sin,beta_cos,beta_amplitude,beta_sin_amp_interaction,beta_cos_amp_interaction,subject,run,gastric_peak_freq
trans_y,0.03998014789537774,0.023653279662306015,0.037833849090379235,0.0002584890298134024,2.448733420558495,0.03402228716334125,0.16912233360552623,0.003300706562376796,0.004037117954021382,0.008847970699734363,-0.0003546970888203276,-0.0029517919647131362,0.00028937345028157667,SE,2,0.0443
trans_z,0.07755084382224908,0.06186293300289969,0.018278052170575987,0.0001674113964312829,4.943350629364724,0.000231739670604571,0.1447961523141889,0.01204858885243605,-0.0018081182710817604,-0.003088902063598847,-0.0002693122686911973,0.0027136317360095686,0.0031330992137674975,SE,2,0.0443
rot_x,0.144081297803472,0.1295248572899257,0.0906888980905397,1.3257876650962785e-06,9.898113324434517,9.209135065522642e-09,0.1606886169891732,0.00527503114369217,0.005963060937229753,0.01575488939612365,0.0005717116723438423,-0.009252843306038929,-0.005687154013530324,SE,2,0.0443
rot_y,0.15740195675063007,0.14307205805591294,0.06703411166471318,0.0001239618064822201,10.984163957045798,1.0421140877839685e-09,0.010433286037711018,0.85718372886592,-0.008276429750142963,-0.0023659872432842816,-0.00035492044314740614,0.004438936673701724,0.0015067853836932476,SE,2,0.0443
rot_z,0.14200429526117975,0.12741253157514543,0.126002333159268,7.771888438534713e-05,9.73181161075756,1.2880381669732065e-08,0.23557891221763386,3.764700234945723e-05,1.5573982879480395e-05,0.014435127221873203,0.00022407738253219512,-0.0024333713989387116,-0.004173121971905409,SE,2,0.0443
trans_x,0.02463878485828619,0.008051009090570105,0.003947595208592891,0.0055594085316218456,1.4853579650045148,0.19442430736977317,0.125773937621862,0.02940378785415263,0.00021194039808226185,-0.0011277669668495276,-0.0003748596875211225,-0.00041333252885347184,0.001554795002505415,SE,3,0.0443
trans_y,0.19391576116642084,0.18020684553999955,0.033540518736607794,0.015253879247128843,14.145229750534309,2.0910326856141524e-12,-0.03492677425348655,0.5467695643226443,-0.00891660200232892,0.010962349942144449,0.00018137292851074915,0.012148169315896584,-0.006807813193039218,SE,3,0.0443
trans_z,0.1673491274585801,0.1531883983337261,0.0727202275170884,0.0027618291054651856,11.81783268241878,1.9863259088324557e-10,0.10892743775431868,0.059509125709336134,-0.007329980762331649,0.0016536209104763295,-1.177394721874807e-06,0.00413938155477404,3.1886346812060474e-05,SE,3,0.0443
rot_x,0.04453093735225411,0.028281463497700665,0.03202226717775014,0.00034331848779600715,2.7404541064432926,0.019425223785300663,0.08737512953046223,0.13105544152304657,-0.00982193610534008,-0.0010180250048180762,-0.00046524042057916997,0.0035545472965275472,0.0027285067945001127,SE,3,0.0443
rot_y,0.13215899456661429,0.11739979379393772,0.0033776708591887195,0.006105479291609428,8.954346282169777,6.219724611664396e-08,-0.22949564788936955,6.019010603153415e-05,0.001181916203463957,0.006714272628809978,0.00021541067707153588,-0.0003434217698913605,-0.006169630804806288,SE,3,0.0443
rot_z,0.04139797855705207,0.025095223090335406,0.030887854847432727,0.001171134269276397,2.539324020504931,0.028620602130215354,-0.12711832007413745,0.027700604005894774,-0.00043635330633263884,-0.001193304349086601,-0.0003904991037427458,-0.002038404194998161,-0.0013289978650381001,SE,3,0.0443
trans_x,0.16991417401081044,0.15579706812664063,0.15824362751369403,3.8747907066150056e-05,12.036048706083756,1.2900246034883762e-10,-0.36178352057614455,1.0452534985665595e-10,-0.001978087096526409,-0.0013646486326805841,-0.000139563154755799,0.0006759983433111874,-0.0009186724532859427,SP,1,0.04388888888888889
trans_y,0.1610548367778566,0.1467870618931263,0.05682569834232776,0.0002018499015026265,11.288013588595433,5.686804563910358e-10,0.3525632657410128,3.299522694787844e-10,0.0028542253016786067,-0.005489436231794293,0.00021567791769198843,-0.0018350508579423378,0.007123964848215313,SP,1,0.04388888888888889
trans_z,0.050133350516471276,0.03397915579736377,0.04771344590013171,0.0009518212280773541,3.1034261619474073,0.009548323539725494,-0.19475177521960474,0.000694731800735589,-0.0009506492967699283,-0.0009339593281873894,0.0001829684524998165,8.794269248129172e-05,-0.0006292199735788867,SP,1,0.04388888888888889
rot_x,0.1224089496960612,0.10748393183374938,0.03848988655453489,0.00016207623214514744,8.20159485404462,2.8819054079954943e-07,-0.1409218588625651,0.014571751143826583,-0.0047041638097014195,0.0015403622799345495,4.8817373754819015e-05,0.005546873279901928,-0.002308070781694897,SP,1,0.04388888888888889
rot_y,0.25430045803256784,0.24161849303312177,0.22102903022588505,0.0009977254959470105,20.052133722469215,3.315935484245231e-17,-0.39100879107948755,2.1271197643511165e-12,-0.0023268942768009827,-0.004938108896167427,-5.050539734412903e-05,0.0024188199985860394,0.0006195236163633251,SP,1,0.04388888888888889
rot_z,0.10513343642859274,0.08991461732023553,0.07850819682365484,0.00048050057700554927,6.908120510536836,4.081576101215426e-06,0.3204439852525772,1.3668219049147193e-08,-0.0004437805952727888,-0.00044550299928477924,-0.00026815786396594315,0.0006826256710188543,0.003374343137953251,SP,1,0.04388888888888889
trans_x,0.059959427962309686,0.043972343403845704,0.024314050656590758,0.0008247501012655922,3.750491701162928,0.0026255185543571776,-0.04524670981092258,0.43490583297123986,0.00014597939975359478,0.0019924004279666886,0.00032616879688281077,0.0007541883280470211,-0.001405572545403541,SP,2,0.047142857
trans_y,0.049228894045052485,0.0330593174131657,0.032601143402372634,0.012266779998235111,3.044538219261207,0.010723184823431143,-0.09819469128329346,0.08954796274686042,-0.003860514818555297,0.0006602320727600039,0.0028277246596746302,-0.00042273535696317824,-0.0024473063459898516,SP,2,0.047142857
trans_z,0.012867877144713713,-0.003920084128335333,0.008936929862275789,7.39667182395598e-05,0.7664943309925006,0.5745719256563557,0.06132112273708826,0.2897475341586585,-0.0008350189796893228,0.00039515767696316146,4.798312652943185e-05,0.00044144000920080866,4.687016335413021e-06,SP,2,0.047142857
rot_x,0.03792281732174052,0.02156096047347089,0.008136997255362544,0.005359453887979426,2.317757554867675,0.04359365389796427,-0.017319209906960085,0.7651326230292064,0.005990309387235841,-0.0026559962080361897,-0.0032520049290295098,-0.00813111012429142,0.0012295161910912625,SP,2,0.047142857
rot_y,0.08484130265728684,0.06927737923309107,0.058188889732030624,0.003238158556236659,5.451151380338452,8.171326458282523e-05,-0.18785121189868698,0.0010783394404446818,-0.0014117106671358403,-0.0014509584436064895,-0.0002146391986503541,0.001001977901359136,0.00018454122751552235,SP,2,0.047142857
rot_z,0.08109194036485767,0.06546425227582475,0.055836162332036365,0.00022333153043363474,5.188991481200932,0.0001400133759418035,0.1684128282951434,0.00343633595911638,0.006072530605336041,0.007331838604362194,-0.0004890426021624148,-0.004500287756429805,-0.0015150912177167174,SP,2,0.047142857
trans_x,0.10258687491789154,0.08732474694030479,0.05796926900156296,0.00599865664847965,6.721662606193907,5.987960112389678e-06,-0.2395890711349948,2.7441642633656386e-05,0.0024145317005163547,-0.0008475950899763632,0.0005581287085957378,-0.0021686458801093273,-0.0010461760424996243,SP,3,0.04722222222222222
trans_y,0.2832638049610009,0.2710744138889092,0.269826681038997,0.0007420858748370396,23.23855254833415,1.1482906400403645e-19,-0.35181581425045716,3.6159426303329503e-10,0.010116105627777486,-0.005439413562084008,0.0024001587059049355,0.0005437284840516519,-0.0040572399478403555,SP,3,0.04722222222222222
trans_z,0.336806697333371,0.32552789966897255,0.29258691380251745,0.0014143060492727288,29.861932748071357,1.6355441938069153e-24,0.08485685305061091,0.14257369263633,-0.006359399249598604,-0.004646834068143068,-0.0004232838957344393,-0.00019030851538581533,0.0036472688848771012,SP,3,0.04722222222222222
rot_x,0.12503782039137612,0.1101575112143588,0.11733776193903012,0.0005091729163154701,8.402904731609784,1.9109899451461758e-07,0.2909013520525189,2.914889324729082e-07,0.0014463802652717856,0.004250595450111629,0.00035272415850066453,0.0019022427311772032,0.001975585147357525,SP,3,0.04722222222222222
rot_y,0.10660951089394588,0.0914157950928226,0.10616982108146344,2.2752460028363508e-05,7.016684548362,3.2655481458754293e-06,0.21936440178993383,0.00012793583608095637,0.0014321621433879216,0.0017059748884094743,-5.394269865850569e-05,0.0001557876337796194,0.00014383400726689153,SP,3,0.04722222222222222
